,,,,Overall,,SRS,,,Scoring,,Passing,,Rushing,,Total,
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
91,Washington,Pac-12 (North),,4,8,-7.01,2.36,-4.65,35.21,9.30,8.32,3.88,4.02,3.76,6.14,3.82
92,Indiana,Big Ten (East),,2,10,-5.16,0.46,-4.70,37.04,13.57,7.53,5.12,4.87,2.92,5.99,3.94
93,Old Dominion,CUSA (East),,6,7,-3.37,-1.64,-5.01,37.38,14.82,7.90,5.60,4.72,3.02,6.11,4.25
94,Tulane,American,,2,10,-0.93,-4.09,-5.03,42.43,17.40,8.87,6.07,5.60,2.70,6.94,4.38
95,Hawaii,MWC (West),,6,7,0.53,-5.72,-5.19,38.77,19.86,8.57,6.13,4.98,3.49,6.65,4.87
96,UTEP,CUSA (West),,7,6,-3.03,-2.27,-5.30,35.79,15.93,10.07,5.63,4.72,3.51,6.95,4.65
97,Ball State,MAC (West),,6,7,-3.55,-2.01,-5.56,35.78,16.73,7.18,6.44,4.49,3.52,5.75,5.02
98,Northwestern,Big Ten (West),,3,9,-5.94,0.22,-5.72,35.28,14.58,7.71,5.61,5.34,4.15,6.28,4.92
99,Florida Atlantic,CUSA (East),,5,7,-5.95,0.22,-5.74,35.98,13.80,9.02,5.33,4.84,3.71,6.67,4.75
100,Stanford,Pac-12 (North),,3,9,-3.89,-1.90,-5.79,37.60,16.46,8.99,5.81,4.39,4.54,6.68,5.10
101,South Alabama,Sun Belt (West),,5,7,-3.95,-2.61,-6.56,34.44,16.78,8.61,6.20,3.70,3.57,6.04,4.81
102,Colorado State,MWC (Mountain),,3,9,-2.68,-3.89,-6.57,36.88,17.93,9.30,6.29,4.73,3.53,6.57,4.83
103,Colorado,Pac-12 (South),,4,8,-6.43,-0.16,-6.60,35.13,12.26,7.80,5.59,4.64,3.71,5.84,4.76
104,Troy,Sun Belt (East),,5,7,-5.80,-1.73,-7.53,34.58,16.44,8.04,6.55,4.21,2.82,6.18,4.39
105,Kent State,MAC (East),,7,7,2.84,-10.71,-7.88,44.36,25.15,9.72,6.47,6.04,4.03,7.45,5.24
106,South Florida,American,,2,10,-2.53,-5.80,-8.33,37.45,19.23,8.41,6.70,5.11,4.57,6.40,5.63
107,Nevada-Las Vegas,MWC (West),,2,10,-4.62,-4.40,-9.02,34.82,20.25,8.95,6.73,4.55,3.74,6.37,5.20
108,San Jose State,MWC (West),,5,7,-8.97,-0.14,-9.11,30.06,14.66,7.71,5.53,4.77,3.00,6.16,4.22
109,Buffalo,MAC (East),,4,8,-3.40,-6.01,-9.41,38.78,19.18,8.16,7.40,4.89,3.98,6.21,5.36
110,Louisiana Tech,CUSA (West),,3,9,0.98,-10.71,-9.73,39.89,22.30,8.79,6.45,4.53,3.96,6.55,5.23
111,Louisiana-Monroe,Sun Belt (West),,4,8,-5.72,-4.10,-9.82,33.02,21.39,7.87,6.99,4.09,3.74,5.63,5.38
112,Rice,CUSA (West),,4,8,-6.28,-3.83,-10.10,33.20,21.99,8.67,6.96,4.69,3.93,6.30,5.53
113,Kansas,Big 12,,2,10,-3.11,-8.01,-11.12,36.75,25.09,8.47,7.01,5.37,4.40,6.56,5.54
114,Charlotte,CUSA (East),,5,7,-1.80,-9.55,-11.35,36.60,23.37,9.03,8.64,4.90,4.86,6.76,6.36
115,Duke,ACC (Coastal),,3,9,-6.09,-5.67,-11.76,34.45,23.85,7.95,7.60,4.87,4.19,6.21,5.79
116,Bowling Green,MAC (East),,4,8,-8.11,-3.88,-12.00,30.97,18.76,7.37,5.74,3.90,3.28,5.65,4.24
117,Georgia Southern,Sun Belt (East),,3,9,-6.97,-5.04,-12.01,32.06,19.64,7.69,7.15,5.14,3.58,6.03,5.42
118,Texas State,Sun Belt (West),,4,8,-4.67,-7.45,-12.12,32.59,23.46,6.82,6.39,4.67,4.05,5.62,5.10
119,Arizona,Pac-12 (South),,1,11,-7.97,-4.43,-12.40,32.76,17.33,8.13,6.62,4.82,3.48,6.33,4.71
120,Vanderbilt,SEC (East),,2,10,-9.19,-3.42,-12.61,30.46,20.09,7.36,6.36,4.62,4.38,5.85,5.40
121,Ohio,MAC (East),,3,9,-5.91,-6.83,-12.73,32.63,20.05,8.13,6.40,5.90,4.14,6.84,5.21
122,Southern Mississippi,CUSA (West),,3,9,-11.97,-1.16,-13.12,28.12,16.88,7.27,6.17,4.13,3.99,5.27,4.92
123,Arkansas State,Sun Belt (West),,2,10,-2.02,-12.28,-14.30,36.84,28.69,8.54,7.19,3.68,5.78,6.46,6.47
124,New Mexico,MWC (Mountain),,3,9,-13.74,-0.59,-14.33,25.33,17.07,6.66,5.78,4.00,3.04,4.84,4.48
125,Temple,American,,3,9,-10.18,-4.77,-14.95,29.96,25.83,7.34,5.56,4.48,3.99,5.81,4.70
126,New Mexico State,Ind,,2,10,-4.78,-11.50,-16.29,34.04,29.56,7.75,8.33,4.22,4.94,6.03,6.54
127,Akron,MAC (East),,2,10,-8.84,-7.99,-16.82,30.44,27.34,8.75,7.50,4.26,5.20,6.24,6.09
128,Connecticut,Ind,,1,11,-10.03,-9.15,-19.18,28.28,27.84,6.25,6.49,4.05,3.88,5.02,5.21
129,Florida International,CUSA (East),,1,11,-9.97,-9.89,-19.86,30.61,28.57,9.72,7.42,4.10,4.85,6.85,5.91
130,Massachusetts,Ind,,1,11,-11.79,-9.48,-21.27,26.76,31.38,6.48,8.25,5.18,5.15,5.68,6.53
